experiment,arm,estimator_family,m,n,d,L,T_per_seed,rmse_raw,rmse_clip,rmse_tpm,dRMSE_clip_pct,dRMSE_tpm_pct,ci_clip_lo,ci_clip_hi,ci_tpm_lo,ci_tpm_hi,z_clip,z_tpm,bind_rate,a_std,clip_worse_than_raw
exp2,xxh64-ints,HLL++,4096,1024,1.1,1126,,0.011918,0.011918,0.011929,0.0,-0.092,,,,,0.0,1.613,0.0,,False
exp2,xxh64-ints,HLL++,4096,2048,1.0,2048,,0.0118,0.008121,0.014161,31.182,-20.008,,,,,-18.495,12.452,0.502,,False
exp2,xxh64-ints,HLL++,4096,2048,1.02,2089,,0.011877,0.011351,0.009127,4.422,23.153,,,,,-6.397,-15.095,0.0467,,False
exp2,xxh64-ints,HLL++,4096,2048,1.1,2253,,0.012136,0.012136,0.012148,0.0,-0.096,,,,,0.0,1.708,0.0,,False
exp2,xxh64-ints,HLL++,4096,4096,1.0,4096,,0.01245,0.008941,0.014617,28.184,-17.399,,,,,-18.279,11.634,0.4767,,False
exp2,xxh64-ints,HLL++,4096,4096,1.02,4178,,0.012472,0.011987,0.009827,3.89,21.208,,,,,-4.923,-15.28,0.026,,False
exp2,xxh64-ints,HLL++,4096,4096,1.1,4506,,0.012381,0.012381,0.012391,0.0,-0.079,,,,,0.0,1.43,0.0,,False
exp2,xxh64-ints,HLL++,4096,8192,1.0,8192,,0.013052,0.009128,0.014662,30.059,-12.34,,,,,-17.41,7.518,0.4973,,False
exp2,xxh64-ints,HLL++,4096,8192,1.02,8356,,0.013214,0.012488,0.010442,5.497,20.981,,,,,-6.42,-14.146,0.0587,,False
exp2,xxh64-ints,HLL++,4096,8192,1.1,9011,,0.012691,0.012691,0.012685,0.0,0.041,,,,,0.0,-0.772,0.0,,False
exp2,xxh64-ints,HLL++,4096,16384,1.0,16384,,0.014129,0.009904,0.015059,29.907,-6.584,,,,,-15.878,3.731,0.4913,,False
exp2,xxh64-ints,HLL++,4096,16384,1.02,16712,,0.014608,0.013394,0.011152,8.315,23.659,,,,,-8.195,-15.012,0.0813,,False
exp2,xxh64-ints,HLL++,4096,16384,1.1,18022,,0.014296,0.014296,0.014298,0.0,-0.014,,,,,0.0,0.289,0.0,,False
exp2,xxh64-ints,HLL++,4096,32768,1.0,32768,,0.015653,0.011967,0.016388,23.546,-4.697,,,,,-16.887,3.393,0.4547,,False
exp2,xxh64-ints,HLL++,4096,32768,1.02,33423,,0.01555,0.014598,0.01276,6.119,17.943,,,,,-7.727,-14.309,0.0813,,False
exp2,xxh64-ints,HLL++,4096,32768,1.1,36045,,0.014915,0.014915,0.014887,0.0,0.188,,,,,0.0,-4.191,0.0,,False
exp2,xxh64-ints,HLL++,4096,65536,1.0,65536,,0.016166,0.012149,0.016471,24.85,-1.882,,,,,-15.283,1.197,0.466,,False
exp2,xxh64-ints,HLL++,4096,65536,1.02,66847,,0.015786,0.014644,0.012584,7.234,20.282,,,,,-8.92,-15.586,0.098,,False
exp2,xxh64-ints,HLL++,4096,65536,1.1,72090,,0.015163,0.015163,0.015137,0.0,0.175,,,,,0.0,-3.179,0.0,,False
exp2,xxh64-ints,HLL++,4096,131072,1.0,131072,,0.015895,0.011388,0.015916,28.356,-0.135,,,,,-16.088,0.08,0.4867,,False
exp2,xxh64-ints,HLL++,4096,131072,1.02,133693,,0.015904,0.014429,0.012137,9.273,23.688,,,,,-8.427,-15.089,0.0987,,False
exp2,xxh64-ints,HLL++,4096,131072,1.1,144179,,0.015812,0.015812,0.015807,0.0,0.03,,,,,0.0,-0.71,0.0,,False
exp2,xxh64-ints,HLL++,16384,819,1.0,819,,0.005419,0.003979,0.007074,26.567,-30.541,,,,,-17.765,20.96,0.532,,False
exp2,xxh64-ints,HLL++,16384,819,1.02,835,,0.005425,0.005425,0.004992,0.0,7.992,,,,,0.0,-15.96,0.0,,False
exp2,xxh64-ints,HLL++,16384,819,1.1,901,,0.005647,0.005647,0.005646,0.0,0.002,,,,,0.0,-0.056,0.0,,False
exp2,xxh64-ints,HLL++,16384,1638,1.0,1638,,0.00563,0.003989,0.007058,29.149,-25.356,,,,,-17.979,16.306,0.5087,,False
exp2,xxh64-ints,HLL++,16384,1638,1.02,1671,,0.0056,0.0056,0.00518,0.0,7.513,,,,,0.0,-15.51,0.0,,False
exp2,xxh64-ints,HLL++,16384,1638,1.1,1802,,0.005505,0.005505,0.005506,0.0,-0.027,,,,,0.0,0.868,0.0,,False
exp2,xxh64-ints,HLL++,16384,4096,1.0,4096,,0.005813,0.003925,0.006968,32.482,-19.87,,,,,-17.989,11.773,0.5167,,False
exp2,xxh64-ints,HLL++,16384,4096,1.02,4178,,0.005794,0.005794,0.005343,0.0,7.782,,,,,0.0,-13.985,0.0,,False
exp2,xxh64-ints,HLL++,16384,4096,1.1,4506,,0.005727,0.005727,0.005727,0.0,-0.003,,,,,0.0,0.096,0.0,,False
exp2,xxh64-ints,HLL++,16384,8192,1.0,8192,,0.005952,0.004213,0.007157,29.214,-20.236,,,,,-18.337,13.128,0.4967,,False
exp2,xxh64-ints,HLL++,16384,8192,1.02,8356,,0.006125,0.006125,0.005638,0.0,7.955,,,,,0.0,-13.542,0.0,,False
exp2,xxh64-ints,HLL++,16384,8192,1.1,9011,,0.006095,0.006095,0.006097,0.0,-0.042,,,,,0.0,1.492,0.0,,False
exp2,xxh64-ints,HLL++,16384,16384,1.0,16384,,0.007532,0.004937,0.007375,34.445,2.085,,,,,-26.548,-1.553,0.5013,,False
exp2,xxh64-ints,HLL++,16384,16384,1.02,16712,,0.007597,0.007597,0.006901,0.0,9.167,,,,,0.0,-21.226,0.0,,False
exp2,xxh64-ints,HLL++,16384,16384,1.1,18022,,0.007646,0.007646,0.007649,0.0,-0.04,,,,,0.0,1.813,0.0,,False
exp2,xxh64-ints,HLL++,16384,32768,1.0,32768,,0.006566,0.004175,0.007009,36.417,-6.755,,,,,-19.052,3.783,0.5407,,False
exp2,xxh64-ints,HLL++,16384,32768,1.02,33423,,0.006423,0.006418,0.005763,0.072,10.269,,,,,-1.042,-13.994,0.0013,,False
exp2,xxh64-ints,HLL++,16384,32768,1.1,36045,,0.006392,0.006392,0.006401,0.0,-0.144,,,,,0.0,5.425,0.0,,False
exp2,xxh64-ints,HLL++,16384,65536,1.0,65536,,0.007297,0.004596,0.007172,37.022,1.715,,,,,-17.963,-0.897,0.562,,False
exp2,xxh64-ints,HLL++,16384,65536,1.02,66847,,0.007031,0.006974,0.006191,0.798,11.942,,,,,-2.164,-12.826,0.0053,,False
exp2,xxh64-ints,HLL++,16384,65536,1.1,72090,,0.007232,0.007232,0.007241,0.0,-0.12,,,,,0.0,5.14,0.0,,False
exp2,xxh64-ints,HLL++,16384,131072,1.0,131072,,0.007675,0.005412,0.007758,29.483,-1.079,,,,,-17.432,0.661,0.4967,,False
exp2,xxh64-ints,HLL++,16384,131072,1.02,133693,,0.007622,0.007606,0.006925,0.213,9.145,,,,,-1.341,-13.782,0.002,,False
exp2,xxh64-ints,HLL++,16384,131072,1.1,144179,,0.007727,0.007727,0.007728,0.0,-0.012,,,,,0.0,0.553,0.0,,False
exp2,xxh64-ints,HLL++,16384,262144,1.0,262144,,0.00801,0.005139,0.007489,35.842,6.497,,,,,-18.363,-3.513,0.538,,False
exp2,xxh64-ints,HLL++,16384,262144,1.02,267387,,0.007976,0.007916,0.007023,0.755,11.948,,,,,-3.048,-14.345,0.01,,False
exp2,xxh64-ints,HLL++,16384,262144,1.1,288358,,0.007983,0.007983,0.007988,0.0,-0.069,,,,,0.0,3.213,0.0,,False
exp2,xxh64-ints,HLL++,16384,524288,1.0,524288,,0.007864,0.004704,0.007184,40.187,8.648,,,,,-19.394,-4.458,0.5593,,False
exp2,xxh64-ints,HLL++,16384,524288,1.02,534774,,0.007906,0.00783,0.006835,0.956,13.546,,,,,-2.904,-14.488,0.0107,,False
exp2,xxh64-ints,HLL++,16384,524288,1.1,576717,,0.007676,0.007676,0.00769,0.0,-0.181,,,,,0.0,8.296,0.0,,False
exp2,ideal,ideal,1024,51,1.0,51,,0.022527,0.017497,0.028402,22.328,-26.08,,,,,-26.404,26.342,0.642,,False
exp2,ideal,ideal,1024,51,1.02,52,,0.022094,0.020261,0.020792,8.294,5.892,,,,,-24.025,-5.718,0.278,,False
exp2,ideal,ideal,1024,51,1.1,56,,0.021502,0.021502,0.020942,0.0,2.607,,,,,0.0,-31.188,0.0,,False
exp2,ideal,ideal,1024,102,1.0,102,,0.022191,0.0158,0.027649,28.799,-24.598,,,,,-20.434,17.557,0.4613,,False
exp2,ideal,ideal,1024,102,1.02,104,,0.021892,0.018999,0.019845,13.213,9.352,,,,,-13.065,-6.161,0.262,,False
exp2,ideal,ideal,1024,102,1.1,112,,0.021891,0.021891,0.021095,0.0,3.637,,,,,0.0,-21.126,0.0,,False
exp2,ideal,ideal,1024,256,1.0,256,,0.023484,0.016649,0.028308,29.105,-20.538,,,,,-16.925,12.669,0.4913,,False
exp2,ideal,ideal,1024,256,1.02,261,,0.023107,0.019847,0.020891,14.109,9.587,,,,,-13.023,-6.326,0.1987,,False
exp2,ideal,ideal,1024,256,1.1,282,,0.023177,0.023177,0.0223,0.0,3.787,,,,,0.0,-13.988,0.0,,False
exp2,ideal,ideal,1024,512,1.0,512,,0.024446,0.017345,0.028513,29.048,-16.64,,,,,-17.137,10.372,0.536,,False
exp2,ideal,ideal,1024,512,1.02,522,,0.024025,0.020032,0.020905,16.618,12.984,,,,,-13.256,-7.878,0.2287,,False
exp2,ideal,ideal,1024,512,1.1,563,,0.023753,0.023753,0.022655,0.0,4.62,,,,,0.0,-12.706,0.0,,False
exp2,ideal,ideal,1024,1024,1.0,1024,,0.024539,0.017008,0.028233,30.689,-15.052,,,,,-17.882,9.275,0.5133,,False
