exp1 real-hash  (m=1024, T=1000, seed=987654321)
All RMSE/bias relative to true n.

           arm      n     d |  rmse_raw rmse_clip  rmse_tpm |  dCLIP%   dTPM% |  z_clip   z_tpm |  bind%
     urls-mmh3   2000  2.00 |   0.03333   0.03333   0.03340 |    0.00   -0.22 |     0.0     2.2 |   0.00
     urls-mmh3   8000  1.00 |   0.03035   0.02077   0.03026 |   31.56    0.28 |   -13.4    -0.1 |  49.00
     urls-mmh3   8000  1.02 |   0.02999   0.02343   0.02349 |   21.86   21.67 |   -10.9    -9.4 |  25.10
     urls-mmh3   8000  1.10 |   0.03017   0.03013   0.02826 |    0.12    6.31 |    -1.0    -9.3 |   0.10
     urls-mmh3   8000  2.00 |   0.02956   0.02956   0.02958 |    0.00   -0.08 |     0.0     0.7 |   0.00
     urls-mmh3  32000  1.00 |   0.03146   0.02396   0.03250 |   23.85   -3.30 |   -13.8     1.9 |  44.70
     urls-mmh3  32000  1.02 |   0.03150   0.02616   0.02647 |   16.95   15.97 |   -10.0    -8.2 |  22.90
     urls-mmh3  32000  1.10 |   0.03038   0.03031   0.02863 |    0.22    5.77 |    -1.0    -8.4 |   0.10
     urls-mmh3  32000  2.00 |   0.03071   0.03071   0.03068 |    0.00    0.09 |     0.0    -0.9 |   0.00
   urls-sha256   2000  1.00 |   0.03269   0.02165   0.03052 |   33.78    6.64 |   -14.8    -3.0 |  51.50
   urls-sha256   2000  1.02 |   0.03276   0.02397   0.02354 |   26.83   28.15 |   -12.3   -11.4 |  29.10
   urls-sha256   2000  1.10 |   0.03219   0.03213   0.02984 |    0.17    7.31 |    -1.4    -9.6 |   0.20
   urls-sha256   2000  2.00 |   0.03117   0.03117   0.03129 |    0.00   -0.36 |     0.0     3.3 |   0.00
   urls-sha256   8000  1.00 |   0.03112   0.02153   0.03065 |   30.80    1.51 |   -12.6    -0.7 |  50.20
   urls-sha256   8000  1.02 |   0.03040   0.02364   0.02342 |   22.23   22.94 |   -11.3   -10.1 |  26.90
   urls-sha256   8000  1.10 |   0.03095   0.03091   0.02877 |    0.12    7.06 |    -1.2    -9.4 |   0.20
   urls-sha256   8000  2.00 |   0.03058   0.03058   0.03067 |    0.00   -0.27 |     0.0     2.5 |   0.00
   urls-sha256  32000  1.00 |   0.03134   0.02340   0.03216 |   25.34   -2.60 |   -13.7     1.4 |  44.30
   urls-sha256  32000  1.02 |   0.03170   0.02593   0.02636 |   18.20   16.83 |   -10.8    -8.7 |  22.80
   urls-sha256  32000  1.10 |   0.03056   0.03051   0.02866 |    0.17    6.21 |    -1.0    -9.1 |   0.10
   urls-sha256  32000  2.00 |   0.03162   0.03162   0.03157 |    0.00    0.17 |     0.0    -1.6 |   0.00
    ints-xxh64   2000  1.00 |   0.03251   0.02128   0.03037 |   34.55    6.58 |   -13.7    -2.8 |  49.60
    ints-xxh64   2000  1.02 |   0.03159   0.02403   0.02362 |   23.94   25.24 |   -11.6   -10.7 |  28.60
    ints-xxh64   2000  1.10 |   0.03209   0.03208   0.02988 |    0.02    6.87 |    -1.0   -10.9 |   0.10
    ints-xxh64   2000  2.00 |   0.03249   0.03249   0.03257 |    0.00   -0.25 |     0.0     2.4 |   0.00
    ints-xxh64   8000  1.00 |   0.03044   0.02318   0.03201 |   23.85   -5.15 |   -13.1     2.9 |  45.00
    ints-xxh64   8000  1.02 |   0.02981   0.02469   0.02526 |   17.18   15.27 |    -9.7    -7.5 |  21.10
    ints-xxh64   8000  1.10 |   0.02988   0.02987   0.02833 |    0.03    5.17 |    -1.0   -10.4 |   0.10
    ints-xxh64   8000  2.00 |   0.03006   0.03006   0.03000 |    0.00    0.20 |     0.0    -1.8 |   0.00
    ints-xxh64  32000  1.00 |   0.03248   0.02647   0.03450 |   18.51   -6.23 |   -11.3     3.8 |  38.70
    ints-xxh64  32000  1.02 |   0.03226   0.02802   0.02857 |   13.14   11.44 |    -9.6    -7.2 |  19.70
    ints-xxh64  32000  1.10 |   0.03255   0.03254   0.03110 |    0.03    4.47 |    -1.0    -9.7 |   0.10
    ints-xxh64  32000  2.00 |   0.03233   0.03233   0.03212 |    0.00    0.66 |     0.0    -6.6 |   0.00
     ints-mmh3   2000  1.00 |   0.03129   0.02037   0.02989 |   34.92    4.50 |   -12.8    -1.8 |  52.10
     ints-mmh3   2000  1.02 |   0.03236   0.02492   0.02469 |   23.00   23.73 |   -12.2   -11.0 |  27.00
     ints-mmh3   2000  1.10 |   0.03357   0.03329   0.03080 |    0.84    8.24 |    -1.9    -8.1 |   0.50
     ints-mmh3   2000  2.00 |   0.03268   0.03268   0.03278 |    0.00   -0.32 |     0.0     3.1 |   0.00
     ints-mmh3   8000  1.00 |   0.02974   0.02108   0.03053 |   29.12   -2.67 |   -13.4     1.3 |  47.70
     ints-mmh3   8000  1.02 |   0.03015   0.02465   0.02503 |   18.24   16.96 |   -10.7    -8.5 |  22.20
     ints-mmh3   8000  1.10 |   0.03036   0.03033   0.02841 |    0.10    6.43 |    -1.0    -9.7 |   0.10
     ints-mmh3   8000  2.00 |   0.02876   0.02876   0.02879 |    0.00   -0.11 |     0.0     1.0 |   0.00
     ints-mmh3  32000  1.00 |   0.03225   0.02214   0.03099 |   31.36    3.92 |   -13.5    -1.8 |  48.60
     ints-mmh3  32000  1.02 |   0.03032   0.02417   0.02416 |   20.28   20.32 |   -11.1    -9.5 |  25.90
     ints-mmh3  32000  1.10 |   0.03123   0.03119   0.02919 |    0.13    6.52 |    -1.0   -10.1 |   0.10
     ints-mmh3  32000  2.00 |   0.03233   0.03233   0.03239 |    0.00   -0.19 |     0.0     1.8 |   0.00
   ints-sha256   2000  1.00 |   0.03291   0.02149   0.03031 |   34.71    7.89 |   -15.0    -3.6 |  53.40
   ints-sha256   2000  1.02 |   0.03170   0.02432   0.02416 |   23.29   23.78 |   -10.5    -9.7 |  25.60
   ints-sha256   2000  1.10 |   0.03238   0.03222   0.03011 |    0.51    7.02 |    -1.7    -8.2 |   0.30
   ints-sha256   2000  2.00 |   0.03193   0.03193   0.03203 |    0.00   -0.29 |     0.0     2.8 |   0.00
   ints-sha256   8000  1.00 |   0.03015   0.01945   0.02926 |   35.49    2.95 |   -14.0    -1.3 |  52.00
   ints-sha256   8000  1.02 |   0.03087   0.02315   0.02259 |   25.01   26.84 |   -11.9   -11.1 |  29.20
   ints-sha256   8000  1.10 |   0.03012   0.03009   0.02810 |    0.10    6.71 |    -1.0    -9.6 |   0.10
   ints-sha256   8000  2.00 |   0.03006   0.03006   0.03021 |    0.00   -0.49 |     0.0     4.4 |   0.00
   ints-sha256  32000  1.00 |   0.03306   0.01868   0.02838 |   43.50   14.17 |   -15.3    -5.4 |  56.70
   ints-sha256  32000  1.02 |   0.03164   0.02236   0.02166 |   29.35   31.54 |   -13.0   -12.2 |  31.30
   ints-sha256  32000  1.10 |   0.03225   0.03225   0.02991 |    0.00    7.26 |     0.0   -11.5 |   0.00
   ints-sha256  32000  2.00 |   0.03173   0.03173   0.03196 |    0.00   -0.72 |     0.0     6.8 |   0.00

      ideal-prng: d=1.0 avg clip dRMSE =  30.72%
     words-xxh64: d=1.0 avg clip dRMSE =  32.45%
      words-mmh3: d=1.0 avg clip dRMSE =  26.99%
    words-sha256: d=1.0 avg clip dRMSE =  31.20%
      urls-xxh64: d=1.0 avg clip dRMSE =  31.94%
       urls-mmh3: d=1.0 avg clip dRMSE =  28.54%
     urls-sha256: d=1.0 avg clip dRMSE =  29.98%
      ints-xxh64: d=1.0 avg clip dRMSE =  25.64%
       ints-mmh3: d=1.0 avg clip dRMSE =  31.80%
     ints-sha256: d=1.0 avg clip dRMSE =  37.90%

VERDICT (this seed): SURVIVES
runtime 284s
