exp1 real-hash  (m=1024, T=1000, seed=987654321)
All RMSE/bias relative to true n.

           arm      n     d |  rmse_raw rmse_clip  rmse_tpm |  dCLIP%   dTPM% |  z_clip   z_tpm |  bind%
--------------------------------------------------------------------------------------------------------
    ideal-prng   2000  1.00 |   0.03261   0.02193   0.03077 |   32.75    5.67 |   -14.3    -2.6 |  51.00
    ideal-prng   2000  1.02 |   0.03114   0.02314   0.02285 |   25.69   26.61 |   -11.7   -10.6 |  27.10
    ideal-prng   2000  1.10 |   0.03278   0.03278   0.03060 |    0.02    6.65 |    -1.0   -11.1 |   0.10
    ideal-prng   2000  2.00 |   0.03209   0.03209   0.03220 |    0.00   -0.35 |     0.0     3.4 |   0.00
    ideal-prng   8000  1.00 |   0.02993   0.02068   0.03016 |   30.92   -0.75 |   -14.2     0.4 |  50.00
    ideal-prng   8000  1.02 |   0.03087   0.02406   0.02428 |   22.08   21.35 |   -11.9    -9.9 |  25.00
    ideal-prng   8000  1.10 |   0.02994   0.02994   0.02821 |    0.00    5.77 |     0.0   -10.5 |   0.00
    ideal-prng   8000  2.00 |   0.03094   0.03094   0.03098 |    0.00   -0.13 |     0.0     1.2 |   0.00
    ideal-prng  32000  1.00 |   0.03280   0.02345   0.03189 |   28.50    2.77 |   -13.5    -1.4 |  48.20
    ideal-prng  32000  1.02 |   0.03069   0.02430   0.02419 |   20.84   21.20 |   -11.0    -9.7 |  26.40
    ideal-prng  32000  1.10 |   0.03192   0.03191   0.02999 |    0.02    6.03 |    -1.0   -10.3 |   0.10
    ideal-prng  32000  2.00 |   0.03164   0.03164   0.03168 |    0.00   -0.12 |     0.0     1.1 |   0.00
   words-xxh64   2000  1.00 |   0.03294   0.02268   0.03140 |   31.15    4.68 |   -13.3    -2.1 |  49.20
   words-xxh64   2000  1.02 |   0.03408   0.02502   0.02475 |   26.58   27.39 |   -11.1   -10.5 |  27.40
   words-xxh64   2000  1.10 |   0.03402   0.03398   0.03153 |    0.10    7.30 |    -1.0   -11.4 |   0.10
   words-xxh64   2000  2.00 |   0.03217   0.03217   0.03223 |    0.00   -0.16 |     0.0     1.6 |   0.00
   words-xxh64   8000  1.00 |   0.03164   0.02048   0.02979 |   35.26    5.82 |   -13.6    -2.4 |  52.40
   words-xxh64   8000  1.02 |   0.03129   0.02350   0.02332 |   24.90   25.48 |   -11.9   -10.7 |  27.30
   words-xxh64   8000  1.10 |   0.03133   0.03125   0.02921 |    0.27    6.77 |    -1.2    -9.1 |   0.20
   words-xxh64   8000  2.00 |   0.03000   0.03000   0.03016 |    0.00   -0.52 |     0.0     4.6 |   0.00
   words-xxh64  32000  1.00 |   0.03087   0.02132   0.03044 |   30.96    1.41 |   -13.5    -0.6 |  50.70
   words-xxh64  32000  1.02 |   0.02997   0.02335   0.02344 |   22.10   21.80 |   -11.9   -10.0 |  24.90
   words-xxh64  32000  1.10 |   0.03001   0.03001   0.02819 |    0.00    6.05 |     0.0   -11.7 |   0.00
   words-xxh64  32000  2.00 |   0.03184   0.03184   0.03195 |    0.00   -0.34 |     0.0     3.2 |   0.00
    words-mmh3   2000  1.00 |   0.03205   0.02175   0.03069 |   32.13    4.23 |   -14.2    -2.0 |  51.00
    words-mmh3   2000  1.02 |   0.03201   0.02448   0.02428 |   23.52   24.16 |   -10.9   -10.0 |  26.70
    words-mmh3   2000  1.10 |   0.03283   0.03280   0.03039 |    0.08    7.41 |    -1.3   -10.3 |   0.20
    words-mmh3   2000  2.00 |   0.03238   0.03238   0.03250 |    0.00   -0.37 |     0.0     3.6 |   0.00
    words-mmh3   8000  1.00 |   0.03079   0.02183   0.03092 |   29.10   -0.42 |   -12.7     0.2 |  49.20
    words-mmh3   8000  1.02 |   0.03091   0.02397   0.02415 |   22.47   21.89 |    -9.8    -8.6 |  23.50
    words-mmh3   8000  1.10 |   0.02916   0.02916   0.02758 |    0.00    5.40 |     0.0   -10.7 |   0.00
    words-mmh3   8000  2.00 |   0.02986   0.02986   0.02991 |    0.00   -0.16 |     0.0     1.4 |   0.00
    words-mmh3  32000  1.00 |   0.03192   0.02562   0.03388 |   19.74   -6.14 |   -11.6     3.7 |  40.60
    words-mmh3  32000  1.02 |   0.03029   0.02564   0.02608 |   15.37   13.93 |    -9.8    -7.6 |  21.10
    words-mmh3  32000  1.10 |   0.03181   0.03181   0.03015 |    0.00    5.24 |     0.0   -10.9 |   0.00
    words-mmh3  32000  2.00 |   0.03116   0.03116   0.03109 |    0.00    0.22 |     0.0    -2.1 |   0.00
  words-sha256   2000  1.00 |   0.03318   0.02149   0.03051 |   35.21    8.04 |   -13.2    -3.2 |  52.00
  words-sha256   2000  1.02 |   0.03213   0.02412   0.02385 |   24.92   25.77 |   -11.2   -10.4 |  27.60
  words-sha256   2000  1.10 |   0.03314   0.03281   0.03061 |    0.98    7.62 |    -1.8    -7.3 |   0.50
  words-sha256   2000  2.00 |   0.03233   0.03233   0.03247 |    0.00   -0.43 |     0.0     4.1 |   0.00
  words-sha256   8000  1.00 |   0.03053   0.02245   0.03135 |   26.47   -2.67 |   -13.0     1.4 |  47.80
  words-sha256   8000  1.02 |   0.03088   0.02385   0.02376 |   22.75   23.05 |   -11.3   -10.0 |  26.60
  words-sha256   8000  1.10 |   0.02960   0.02960   0.02785 |    0.00    5.92 |     0.0   -10.4 |   0.00
  words-sha256   8000  2.00 |   0.03049   0.03049   0.03051 |    0.00   -0.06 |     0.0     0.6 |   0.00
  words-sha256  32000  1.00 |   0.03117   0.02122   0.03037 |   31.92    2.56 |   -14.3    -1.2 |  51.60
  words-sha256  32000  1.02 |   0.03228   0.02524   0.02490 |   21.82   22.88 |   -12.0   -10.9 |  28.60
  words-sha256  32000  1.10 |   0.03238   0.03218   0.02994 |    0.62    7.55 |    -1.4    -8.1 |   0.20
  words-sha256  32000  2.00 |   0.03061   0.03061   0.03068 |    0.00   -0.25 |     0.0     2.2 |   0.00
    urls-xxh64   2000  1.00 |   0.03151   0.02116   0.03027 |   32.85    3.93 |   -14.2    -1.8 |  52.70
    urls-xxh64   2000  1.02 |   0.03362   0.02450   0.02388 |   27.15   28.99 |   -12.8   -12.1 |  29.60
    urls-xxh64   2000  1.10 |   0.03377   0.03374   0.03119 |    0.09    7.65 |    -1.5   -10.3 |   0.30
    urls-xxh64   2000  2.00 |   0.03228   0.03228   0.03237 |    0.00   -0.27 |     0.0     2.6 |   0.00
    urls-xxh64   8000  1.00 |   0.02905   0.02031   0.03007 |   30.07   -3.50 |   -14.2     1.7 |  48.50
    urls-xxh64   8000  1.02 |   0.03244   0.02532   0.02521 |   21.95   22.28 |   -11.3   -10.1 |  25.80
    urls-xxh64   8000  1.10 |   0.03041   0.03041   0.02870 |    0.00    5.64 |     0.0   -10.4 |   0.00
    urls-xxh64   8000  2.00 |   0.03046   0.03046   0.03052 |    0.00   -0.19 |     0.0     1.7 |   0.00
    urls-xxh64  32000  1.00 |   0.02907   0.01950   0.02941 |   32.91   -1.19 |   -14.1     0.5 |  51.30
    urls-xxh64  32000  1.02 |   0.03009   0.02255   0.02202 |   25.04   26.83 |   -12.3   -11.3 |  29.10
    urls-xxh64  32000  1.10 |   0.03128   0.03125   0.02896 |    0.09    7.41 |    -1.0   -10.0 |   0.10
    urls-xxh64  32000  2.00 |   0.03170   0.03170   0.03185 |    0.00   -0.46 |     0.0     4.4 |   0.00
     urls-mmh3   2000  1.00 |   0.03255   0.02272   0.03130 |   30.20    3.84 |   -14.4    -1.9 |  50.40
     urls-mmh3   2000  1.02 |   0.03296   0.02573   0.02561 |   21.93   22.32 |   -10.9    -9.9 |  25.90
     urls-mmh3   2000  1.10 |   0.03221   0.03213   0.02990 |    0.23    7.15 |    -1.1    -9.3 |   0.20
