exp1 real-hash  (m=1024, T=1000, seed=20260612)
All RMSE/bias relative to true n.

           arm      n     d |  rmse_raw rmse_clip  rmse_tpm |  dCLIP%   dTPM% |  z_clip   z_tpm |  bind%
   words-xxh64   8000  1.00 |   0.02994   0.01930   0.02930 |   35.52    2.14 |   -12.9    -0.8 |  51.00
   words-xxh64   8000  1.02 |   0.03216   0.02391   0.02354 |   25.64   26.80 |   -11.9   -11.0 |  27.90
   words-xxh64   8000  1.10 |   0.02994   0.02987   0.02776 |    0.21    7.28 |    -1.3    -9.3 |   0.20
   words-xxh64   8000  2.00 |   0.03006   0.03006   0.03018 |    0.00   -0.40 |     0.0     3.5 |   0.00
   words-xxh64  32000  1.00 |   0.03077   0.02090   0.03028 |   32.07    1.59 |   -14.4    -0.7 |  48.90
   words-xxh64  32000  1.02 |   0.02975   0.02350   0.02379 |   21.02   20.02 |   -11.0    -9.0 |  24.30
   words-xxh64  32000  1.10 |   0.02993   0.02990   0.02800 |    0.08    6.42 |    -1.0    -9.7 |   0.10
   words-xxh64  32000  2.00 |   0.03038   0.03038   0.03049 |    0.00   -0.35 |     0.0     3.2 |   0.00
    words-mmh3   2000  1.00 |   0.03430   0.02260   0.03118 |   34.10    9.09 |   -13.0    -3.7 |  50.20
    words-mmh3   2000  1.02 |   0.03258   0.02474   0.02468 |   24.05   24.23 |   -10.8    -9.8 |  26.10
    words-mmh3   2000  1.10 |   0.03189   0.03189   0.02959 |    0.00    7.22 |     0.0   -11.2 |   0.00
    words-mmh3   2000  2.00 |   0.03238   0.03238   0.03250 |    0.00   -0.36 |     0.0     3.5 |   0.00
    words-mmh3   8000  1.00 |   0.03031   0.02099   0.03045 |   30.73   -0.45 |   -13.8     0.2 |  48.40
    words-mmh3   8000  1.02 |   0.02944   0.02400   0.02437 |   18.46   17.22 |   -10.5    -8.3 |  22.20
    words-mmh3   8000  1.10 |   0.03034   0.03020   0.02841 |    0.45    6.38 |    -1.3    -7.9 |   0.30
    words-mmh3   8000  2.00 |   0.03036   0.03036   0.03039 |    0.00   -0.11 |     0.0     1.0 |   0.00
    words-mmh3  32000  1.00 |   0.03265   0.02489   0.03309 |   23.77   -1.33 |   -12.9     0.7 |  45.00
    words-mmh3  32000  1.02 |   0.03191   0.02712   0.02716 |   15.02   14.90 |   -10.6    -8.9 |  24.80
    words-mmh3  32000  1.10 |   0.03222   0.03222   0.03060 |    0.00    5.03 |     0.0   -10.4 |   0.00
    words-mmh3  32000  2.00 |   0.03006   0.03006   0.02994 |    0.00    0.40 |     0.0    -3.6 |   0.00
  words-sha256   2000  1.00 |   0.03213   0.02212   0.03097 |   31.15    3.59 |   -13.5    -1.6 |  51.40
  words-sha256   2000  1.02 |   0.03281   0.02428   0.02400 |   26.00   26.85 |   -11.2   -10.5 |  27.40
  words-sha256   2000  1.10 |   0.03234   0.03225   0.03027 |    0.28    6.39 |    -1.5    -9.0 |   0.30
  words-sha256   2000  2.00 |   0.03127   0.03127   0.03141 |    0.00   -0.44 |     0.0     4.1 |   0.00
  words-sha256   8000  1.00 |   0.03022   0.02167   0.03087 |   28.29   -2.15 |   -13.7     1.1 |  46.90
  words-sha256   8000  1.02 |   0.03064   0.02501   0.02531 |   18.36   17.40 |   -10.1    -8.3 |  23.70
  words-sha256   8000  1.10 |   0.03100   0.03098   0.02912 |    0.08    6.06 |    -1.0    -9.8 |   0.10
  words-sha256   8000  2.00 |   0.03026   0.03026   0.03027 |    0.00   -0.04 |     0.0     0.4 |   0.00
  words-sha256  32000  1.00 |   0.03130   0.02141   0.03057 |   31.60    2.36 |   -13.9    -1.1 |  49.30
  words-sha256  32000  1.02 |   0.03250   0.02570   0.02544 |   20.93   21.71 |   -11.4   -10.3 |  27.50
  words-sha256  32000  1.10 |   0.03188   0.03179   0.02968 |    0.28    6.88 |    -1.5    -9.0 |   0.30
  words-sha256  32000  2.00 |   0.02955   0.02955   0.02960 |    0.00   -0.15 |     0.0     1.3 |   0.00
    urls-xxh64   2000  1.00 |   0.03297   0.02213   0.03088 |   32.90    6.35 |   -12.9    -2.7 |  52.40
    urls-xxh64   2000  1.02 |   0.03292   0.02464   0.02455 |   25.17   25.42 |   -11.0   -10.1 |  25.60
    urls-xxh64   2000  1.10 |   0.03416   0.03385   0.03114 |    0.90    8.85 |    -1.6    -8.1 |   0.50
    urls-xxh64   2000  2.00 |   0.03327   0.03327   0.03339 |    0.00   -0.36 |     0.0     3.6 |   0.00
    urls-xxh64   8000  1.00 |   0.03141   0.02265   0.03152 |   27.90   -0.37 |   -12.7     0.2 |  47.30
    urls-xxh64   8000  1.02 |   0.03109   0.02455   0.02465 |   21.03   20.73 |   -10.8    -9.3 |  24.90
    urls-xxh64   8000  1.10 |   0.02883   0.02883   0.02733 |    0.00    5.22 |     0.0   -12.1 |   0.00
    urls-xxh64   8000  2.00 |   0.03056   0.03056   0.03059 |    0.00   -0.11 |     0.0     1.0 |   0.00
    urls-xxh64  32000  1.00 |   0.03076   0.01956   0.02927 |   36.42    4.87 |   -15.0    -2.1 |  51.80
    urls-xxh64  32000  1.02 |   0.03194   0.02436   0.02393 |   23.73   25.10 |   -11.4   -10.6 |  27.80
    urls-xxh64  32000  1.10 |   0.03114   0.03107   0.02878 |    0.23    7.60 |    -1.3    -9.4 |   0.20
    urls-xxh64  32000  2.00 |   0.03132   0.03132   0.03143 |    0.00   -0.37 |     0.0     3.4 |   0.00
     urls-mmh3   2000  1.00 |   0.03340   0.02353   0.03169 |   29.55    5.12 |   -15.6    -2.7 |  52.40
     urls-mmh3   2000  1.02 |   0.03331   0.02508   0.02479 |   24.71   25.57 |   -11.2   -10.5 |  27.40
     urls-mmh3   2000  1.10 |   0.03154   0.03154   0.02966 |    0.00    5.97 |     0.0   -11.4 |   0.00
     urls-mmh3   2000  2.00 |   0.03225   0.03225   0.03232 |    0.00   -0.22 |     0.0     2.1 |   0.00
     urls-mmh3   8000  1.00 |   0.03120   0.02159   0.03075 |   30.80    1.47 |   -13.7    -0.7 |  48.40
     urls-mmh3   8000  1.02 |   0.03043   0.02372   0.02371 |   22.05   22.06 |   -10.4    -9.2 |  25.20
     urls-mmh3   8000  1.10 |   0.03033   0.03027   0.02853 |    0.20    5.92 |    -1.0    -8.8 |   0.10
     urls-mmh3   8000  2.00 |   0.03096   0.03096   0.03097 |    0.00   -0.04 |     0.0     0.3 |   0.00
     urls-mmh3  32000  1.00 |   0.03064   0.02226   0.03135 |   27.35   -2.30 |   -12.5     1.1 |  47.60
     urls-mmh3  32000  1.02 |   0.03040   0.02472   0.02509 |   18.68   17.46 |   -10.6    -8.6 |  22.70
     urls-mmh3  32000  1.10 |   0.03067   0.03065   0.02887 |    0.08    5.88 |    -1.4    -8.9 |   0.20
     urls-mmh3  32000  2.00 |   0.03061   0.03061   0.03052 |    0.00    0.29 |     0.0    -2.7 |   0.00
   urls-sha256   2000  1.00 |   0.03217   0.02280   0.03149 |   29.13    2.11 |   -12.9    -1.0 |  49.60
   urls-sha256   2000  1.02 |   0.03237   0.02466   0.02431 |   23.81   24.92 |   -11.6   -10.8 |  27.80
   urls-sha256   2000  1.10 |   0.03222   0.03211   0.02988 |    0.32    7.26 |    -1.4    -9.5 |   0.20
   urls-sha256   2000  2.00 |   0.03273   0.03273   0.03281 |    0.00   -0.24 |     0.0     2.4 |   0.00
   urls-sha256   8000  1.00 |   0.02978   0.02044   0.03018 |   31.37   -1.33 |   -13.1     0.6 |  47.30
   urls-sha256   8000  1.02 |   0.03163   0.02510   0.02496 |   20.64   21.09 |   -11.7   -10.3 |  27.50
   urls-sha256   8000  1.10 |   0.03015   0.03012   0.02820 |    0.09    6.47 |    -1.0    -9.3 |   0.10
   urls-sha256   8000  2.00 |   0.03047   0.03047   0.03049 |    0.00   -0.07 |     0.0     0.6 |   0.00
   urls-sha256  32000  1.00 |   0.03025   0.02219   0.03135 |   26.65   -3.64 |   -13.0     1.8 |  46.40
   urls-sha256  32000  1.02 |   0.03107   0.02545   0.02543 |   18.09   18.16 |   -10.1    -8.8 |  26.00
   urls-sha256  32000  1.10 |   0.03000   0.03000   0.02849 |    0.00    5.04 |     0.0   -11.1 |   0.00
   urls-sha256  32000  2.00 |   0.03086   0.03086   0.03085 |    0.00    0.03 |     0.0    -0.3 |   0.00
    ints-xxh64   2000  1.00 |   0.03123   0.02187   0.03100 |   29.97    0.75 |   -12.3    -0.3 |  48.90
    ints-xxh64   2000  1.02 |   0.03208   0.02459   0.02406 |   23.35   24.99 |   -11.8   -11.0 |  27.40
    ints-xxh64   2000  1.10 |   0.03388   0.03375   0.03087 |    0.37    8.87 |    -2.1    -9.8 |   0.50
    ints-xxh64   2000  2.00 |   0.03287   0.03287   0.03295 |    0.00   -0.26 |     0.0     2.5 |   0.00
    ints-xxh64   8000  1.00 |   0.03029   0.02281   0.03186 |   24.68   -5.18 |   -13.0     2.8 |  44.50
    ints-xxh64   8000  1.02 |   0.02986   0.02520   0.02591 |   15.62   13.23 |    -8.0    -6.1 |  19.50
    ints-xxh64   8000  1.10 |   0.03046   0.03043   0.02889 |    0.10    5.16 |    -1.0    -9.7 |   0.10
    ints-xxh64   8000  2.00 |   0.03037   0.03037   0.03031 |    0.00    0.20 |     0.0    -1.8 |   0.00
    ints-xxh64  32000  1.00 |   0.03374   0.02685   0.03454 |   20.43   -2.38 |   -11.7     1.4 |  41.90
    ints-xxh64  32000  1.02 |   0.03252   0.02873   0.02922 |   11.66   10.13 |    -9.7    -7.1 |  19.60
    ints-xxh64  32000  1.10 |   0.03154   0.03154   0.03018 |    0.00    4.29 |     0.0   -10.0 |   0.00
    ints-xxh64  32000  2.00 |   0.03109   0.03109   0.03086 |    0.00    0.71 |     0.0    -6.9 |   0.00
     ints-mmh3   2000  1.00 |   0.03206   0.02051   0.02979 |   36.03    7.07 |   -14.5    -3.0 |  53.30
     ints-mmh3   2000  1.02 |   0.03302   0.02505   0.02477 |   24.14   24.99 |   -12.1   -11.0 |  28.10
     ints-mmh3   2000  1.10 |   0.03288   0.03283   0.03062 |    0.16    6.89 |    -1.4   -10.0 |   0.20
     ints-mmh3   2000  2.00 |   0.03264   0.03264   0.03270 |    0.00   -0.18 |     0.0     1.7 |   0.00
     ints-mmh3   8000  1.00 |   0.03119   0.02332   0.03202 |   25.25   -2.64 |   -12.9     1.4 |  46.80
     ints-mmh3   8000  1.02 |   0.03070   0.02389   0.02384 |   22.18   22.32 |   -11.5   -10.0 |  25.70
     ints-mmh3   8000  1.10 |   0.02967   0.02967   0.02795 |    0.00    5.78 |     0.0   -10.0 |   0.00
     ints-mmh3   8000  2.00 |   0.03152   0.03152   0.03155 |    0.00   -0.10 |     0.0     0.9 |   0.00
     ints-mmh3  32000  1.00 |   0.03084   0.02155   0.03069 |   30.13    0.49 |   -13.9    -0.2 |  48.90
     ints-mmh3  32000  1.02 |   0.03115   0.02460   0.02454 |   21.03   21.21 |   -11.1    -9.7 |  26.80
     ints-mmh3  32000  1.10 |   0.03159   0.03155   0.02920 |    0.11    7.55 |    -1.4    -9.9 |   0.20
     ints-mmh3  32000  2.00 |   0.03157   0.03157   0.03163 |    0.00   -0.19 |     0.0     1.8 |   0.00
   ints-sha256   2000  1.00 |   0.03303   0.02319   0.03168 |   29.79    4.08 |   -14.7    -2.1 |  49.40
   ints-sha256   2000  1.02 |   0.03234   0.02364   0.02350 |   26.91   27.35 |   -11.7   -10.6 |  27.70
   ints-sha256   2000  1.10 |   0.03178   0.03160   0.02958 |    0.58    6.94 |    -1.0    -7.6 |   0.10
   ints-sha256   2000  2.00 |   0.03245   0.03245   0.03257 |    0.00   -0.37 |     0.0     3.5 |   0.00
   ints-sha256   8000  1.00 |   0.03086   0.01987   0.02950 |   35.59    4.38 |   -14.4    -1.9 |  51.80
   ints-sha256   8000  1.02 |   0.03123   0.02405   0.02381 |   22.99   23.75 |   -11.4   -10.3 |  26.80
   ints-sha256   8000  1.10 |   0.02997   0.02993   0.02792 |    0.15    6.85 |    -1.0    -9.8 |   0.10
   ints-sha256   8000  2.00 |   0.03084   0.03084   0.03093 |    0.00   -0.28 |     0.0     2.6 |   0.00
   ints-sha256  32000  1.00 |   0.03199   0.01983   0.02919 |   38.01    8.74 |   -14.2    -3.5 |  55.80
   ints-sha256  32000  1.02 |   0.03111   0.02297   0.02226 |   26.17   28.46 |   -12.2   -11.5 |  30.20
   ints-sha256  32000  1.10 |   0.03220   0.03200   0.02945 |    0.61    8.54 |    -1.1    -8.4 |   0.30
   ints-sha256  32000  2.00 |   0.03149   0.03149   0.03173 |    0.00   -0.75 |     0.0     7.1 |   0.00

      ideal-prng: d=1.0 avg clip dRMSE =  32.15%
     words-xxh64: d=1.0 avg clip dRMSE =  33.39%
      words-mmh3: d=1.0 avg clip dRMSE =  29.53%
    words-sha256: d=1.0 avg clip dRMSE =  30.35%
      urls-xxh64: d=1.0 avg clip dRMSE =  32.41%
       urls-mmh3: d=1.0 avg clip dRMSE =  29.23%
     urls-sha256: d=1.0 avg clip dRMSE =  29.05%
      ints-xxh64: d=1.0 avg clip dRMSE =  25.02%
       ints-mmh3: d=1.0 avg clip dRMSE =  30.47%
     ints-sha256: d=1.0 avg clip dRMSE =  34.47%

VERDICT (this seed): SURVIVES
runtime 294s
