exp1 real-hash  (m=1024, T=1000, seed=20260612)
All RMSE/bias relative to true n.

           arm      n     d |  rmse_raw rmse_clip  rmse_tpm |  dCLIP%   dTPM% |  z_clip   z_tpm |  bind%
--------------------------------------------------------------------------------------------------------
    ideal-prng   2000  1.00 |   0.03267   0.02078   0.02987 |   36.40    8.58 |   -14.7    -3.7 |  55.20
    ideal-prng   2000  1.02 |   0.03206   0.02450   0.02427 |   23.58   24.29 |   -11.1   -10.2 |  26.50
    ideal-prng   2000  1.10 |   0.03149   0.03145   0.02919 |    0.13    7.29 |    -1.2   -10.0 |   0.20
    ideal-prng   2000  2.00 |   0.03374   0.03374   0.03388 |    0.00   -0.40 |     0.0     4.0 |   0.00
    ideal-prng   8000  1.00 |   0.02979   0.02125   0.03069 |   28.67   -3.03 |   -13.7     1.5 |  47.20
    ideal-prng   8000  1.02 |   0.02824   0.02237   0.02252 |   20.79   20.25 |   -11.3    -9.2 |  24.50
    ideal-prng   8000  1.10 |   0.03074   0.03072   0.02882 |    0.07    6.25 |    -1.2    -9.8 |   0.20
    ideal-prng   8000  2.00 |   0.03166   0.03166   0.03173 |    0.00   -0.23 |     0.0     2.2 |   0.00
    ideal-prng  32000  1.00 |   0.03242   0.02225   0.03123 |   31.36    3.69 |   -13.3    -1.6 |  46.50
    ideal-prng  32000  1.02 |   0.03217   0.02488   0.02481 |   22.67   22.86 |   -10.5    -9.5 |  26.40
    ideal-prng  32000  1.10 |   0.03171   0.03165   0.02966 |    0.18    6.47 |    -1.3    -9.0 |   0.20
    ideal-prng  32000  2.00 |   0.03274   0.03274   0.03284 |    0.00   -0.30 |     0.0     2.9 |   0.00
   words-xxh64   2000  1.00 |   0.03184   0.02147   0.03047 |   32.57    4.29 |   -14.3    -2.0 |  52.60
   words-xxh64   2000  1.02 |   0.03222   0.02429   0.02385 |   24.61   25.99 |   -12.4   -11.4 |  28.30
   words-xxh64   2000  1.10 |   0.03198   0.03190   0.02970 |    0.25    7.11 |    -1.2    -9.4 |   0.30
   words-xxh64   2000  2.00 |   0.03373   0.03373   0.03379 |    0.00   -0.20 |     0.0     2.0 |   0.00
