POOLED exp2 over 3 seeds (T=1500 trials/cell). z = mean(err_x^2 - err_raw^2)/SE

       arm      m    n/m     d |  rmse_raw rmse_clip  rmse_tpm |  dCLIP%   dTPM% |   z_clip    z_tpm |  bind%
xxh64-ints   4096   4.00  1.00 |   0.01413   0.00990   0.01506 |   29.91   -6.58 |   -15.88     3.73 |  49.13
xxh64-ints   4096   4.00  1.02 |   0.01461   0.01339   0.01115 |    8.31   23.66 |    -8.19   -15.01 |   8.13
xxh64-ints   4096   4.00  1.10 |   0.01430   0.01430   0.01430 |    0.00   -0.01 |     0.00     0.29 |   0.00
xxh64-ints   4096   8.00  1.00 |   0.01565   0.01197   0.01639 |   23.55   -4.70 |   -16.89     3.39 |  45.47
xxh64-ints   4096   8.00  1.02 |   0.01555   0.01460   0.01276 |    6.12   17.94 |    -7.73   -14.31 |   8.13
xxh64-ints   4096   8.00  1.10 |   0.01491   0.01491   0.01489 |    0.00    0.19 |     0.00    -4.19 |   0.00
xxh64-ints   4096  16.00  1.00 |   0.01617   0.01215   0.01647 |   24.85   -1.88 |   -15.28     1.20 |  46.60
xxh64-ints   4096  16.00  1.02 |   0.01579   0.01464   0.01258 |    7.23   20.28 |    -8.92   -15.59 |   9.80
xxh64-ints   4096  16.00  1.10 |   0.01516   0.01516   0.01514 |    0.00    0.18 |     0.00    -3.18 |   0.00
xxh64-ints   4096  32.00  1.00 |   0.01590   0.01139   0.01592 |   28.36   -0.13 |   -16.09     0.08 |  48.67
xxh64-ints   4096  32.00  1.02 |   0.01590   0.01443   0.01214 |    9.27   23.69 |    -8.43   -15.09 |   9.87
xxh64-ints   4096  32.00  1.10 |   0.01581   0.01581   0.01581 |    0.00    0.03 |     0.00    -0.71 |   0.00
xxh64-ints  16384   0.05  1.00 |   0.00542   0.00398   0.00707 |   26.57  -30.54 |   -17.77    20.96 |  53.20
xxh64-ints  16384   0.05  1.02 |   0.00543   0.00543   0.00499 |    0.00    7.99 |     0.00   -15.96 |   0.00
xxh64-ints  16384   0.05  1.10 |   0.00565   0.00565   0.00565 |    0.00    0.00 |     0.00    -0.06 |   0.00
xxh64-ints  16384   0.10  1.00 |   0.00563   0.00399   0.00706 |   29.15  -25.36 |   -17.98    16.31 |  50.87
xxh64-ints  16384   0.10  1.02 |   0.00560   0.00560   0.00518 |    0.00    7.51 |     0.00   -15.51 |   0.00
xxh64-ints  16384   0.10  1.10 |   0.00550   0.00550   0.00551 |    0.00   -0.03 |     0.00     0.87 |   0.00
xxh64-ints  16384   0.25  1.00 |   0.00581   0.00392   0.00697 |   32.48  -19.87 |   -17.99    11.77 |  51.67
xxh64-ints  16384   0.25  1.02 |   0.00579   0.00579   0.00534 |    0.00    7.78 |     0.00   -13.98 |   0.00
xxh64-ints  16384   0.25  1.10 |   0.00573   0.00573   0.00573 |    0.00   -0.00 |     0.00     0.10 |   0.00
xxh64-ints  16384   0.50  1.00 |   0.00595   0.00421   0.00716 |   29.21  -20.24 |   -18.34    13.13 |  49.67
xxh64-ints  16384   0.50  1.02 |   0.00613   0.00613   0.00564 |    0.00    7.95 |     0.00   -13.54 |   0.00
