exp1 real-hash  (m=1024, T=1000, seed=31337)
All RMSE/bias relative to true n.

           arm      n     d |  rmse_raw rmse_clip  rmse_tpm |  dCLIP%   dTPM% |  z_clip   z_tpm |  bind%
    urls-xxh64   2000  2.00 |   0.03361   0.03361   0.03375 |    0.00   -0.42 |     0.0     4.2 |   0.00
    urls-xxh64   8000  1.00 |   0.03036   0.02148   0.03069 |   29.24   -1.10 |   -14.0     0.5 |  49.50
    urls-xxh64   8000  1.02 |   0.03051   0.02398   0.02437 |   21.41   20.15 |   -10.1    -8.5 |  23.20
    urls-xxh64   8000  1.10 |   0.03084   0.03083   0.02876 |    0.04    6.74 |    -1.0    -9.7 |   0.10
    urls-xxh64   8000  2.00 |   0.03059   0.03059   0.03058 |    0.00    0.01 |     0.0    -0.1 |   0.00
    urls-xxh64  32000  1.00 |   0.03172   0.02047   0.02978 |   35.47    6.12 |   -14.0    -2.6 |  53.00
    urls-xxh64  32000  1.02 |   0.03209   0.02316   0.02280 |   27.84   28.95 |   -12.0   -11.1 |  29.00
    urls-xxh64  32000  1.10 |   0.03078   0.03077   0.02852 |    0.03    7.36 |    -1.5    -9.4 |   0.30
    urls-xxh64  32000  2.00 |   0.03140   0.03140   0.03150 |    0.00   -0.31 |     0.0     2.9 |   0.00
     urls-mmh3   2000  1.00 |   0.03304   0.02128   0.03048 |   35.60    7.74 |   -12.3    -2.9 |  51.00
     urls-mmh3   2000  1.02 |   0.03302   0.02414   0.02373 |   26.91   28.14 |   -11.6   -10.9 |  29.40
     urls-mmh3   2000  1.10 |   0.03270   0.03263   0.03059 |    0.23    6.45 |    -1.7    -9.5 |   0.30
     urls-mmh3   2000  2.00 |   0.03345   0.03345   0.03360 |    0.00   -0.45 |     0.0     4.5 |   0.00
     urls-mmh3   8000  1.00 |   0.03086   0.02199   0.03103 |   28.74   -0.53 |   -12.4     0.2 |  48.60
     urls-mmh3   8000  1.02 |   0.02969   0.02413   0.02434 |   18.72   18.01 |   -11.4    -9.2 |  24.00
     urls-mmh3   8000  1.10 |   0.02973   0.02973   0.02799 |    0.00    5.85 |     0.0   -10.9 |   0.00
     urls-mmh3   8000  2.00 |   0.03002   0.03002   0.03001 |    0.00    0.03 |     0.0    -0.2 |   0.00
     urls-mmh3  32000  1.00 |   0.03256   0.02446   0.03279 |   24.88   -0.71 |   -12.2     0.4 |  45.00
     urls-mmh3  32000  1.02 |   0.03137   0.02592   0.02617 |   17.36   16.57 |   -11.6    -9.3 |  23.90
     urls-mmh3  32000  1.10 |   0.03140   0.03139   0.02953 |    0.05    5.97 |    -1.1    -8.9 |   0.20
     urls-mmh3  32000  2.00 |   0.03160   0.03160   0.03158 |    0.00    0.05 |     0.0    -0.5 |   0.00
   urls-sha256   2000  1.00 |   0.03278   0.02129   0.03034 |   35.04    7.43 |   -14.2    -3.2 |  50.90
   urls-sha256   2000  1.02 |   0.03154   0.02457   0.02458 |   22.10   22.06 |   -11.0    -9.7 |  24.50
